"MvMf" "pEvM" "MfvpE" "MvF" "AvS"
"scaffold_10_27545_27663_+" 0 0 0 0 0
"scaffold_10_38881_38889_+" 0 0 -1 0 -1
"scaffold_10_38986_39191_+" 0 1 -1 0 -1
"scaffold_10_39292_39606_+" 0 1 -1 0 -1
"scaffold_10_41055_41085_+" 0 0 0 0 0
"scaffold_10_49150_49161_+" 0 0 0 0 0
"scaffold_10_68126_68162_+" 0 0 0 0 0
"scaffold_10_89701_89817_+" -1 1 0 -1 0
"scaffold_10_93284_93355_+" 0 0 0 0 0
"scaffold_10_100134_100197_+" 0 0 0 0 0
"scaffold_10_122095_122149_+" 0 0 0 0 0
"scaffold_10_169930_169988_+" 0 0 0 0 0
"scaffold_10_220296_220498_+" 0 0 0 0 0
"scaffold_10_223530_223611_+" 0 0 0 0 0
"scaffold_10_271839_272029_+" 0 0 0 0 0
"scaffold_10_278087_278221_+" 1 0 -1 1 0
"scaffold_10_307486_307684_+" 0 0 0 0 0
"scaffold_10_307689_307762_+" 0 0 0 0 0
"scaffold_10_321021_321128_+" 0 0 0 0 0
"scaffold_10_346549_346633_+" -1 1 0 -1 0
"scaffold_10_385696_385956_+" 0 0 0 0 0
"scaffold_10_411095_411129_+" 0 0 0 0 0
"scaffold_10_417344_417413_+" -1 1 0 -1 0
"scaffold_10_425248_425316_+" -1 0 1 -1 0
"scaffold_10_430181_430202_+" 0 0 0 0 0
"scaffold_10_454286_454564_+" 1 0 -1 0 0
"scaffold_10_457082_457181_+" 0 0 -1 0 0
"scaffold_10_462088_462127_+" 0 0 0 0 0
"scaffold_10_476911_477078_+" 0 0 0 0 0
"scaffold_10_493618_493702_+" 1 0 0 1 0
"scaffold_10_494733_494834_+" 0 0 0 0 0
"scaffold_10_521206_521212_+" 0 1 -1 0 -1
"scaffold_10_522669_522715_+" 0 1 -1 0 -1
"scaffold_10_522823_523201_+" 0 1 -1 0 -1
"scaffold_10_548308_548337_+" 0 0 0 0 0
"scaffold_10_583495_583581_+" 1 0 0 1 0
"scaffold_10_599018_599064_+" 0 1 -1 -1 -1
"scaffold_10_600314_600330_+" 0 0 -1 0 0
"scaffold_10_610758_610855_+" 0 0 0 0 0
"scaffold_10_624334_624526_+" -1 0 1 0 0
"scaffold_10_626989_627019_+" 0 0 0 0 0
"scaffold_10_630101_630260_+" 0 0 0 0 0
"scaffold_10_634982_635062_+" 0 0 -1 0 0
"scaffold_10_644256_644295_+" 0 0 0 0 0
"scaffold_10_661023_661044_+" 0 -1 0 0 0
"scaffold_10_662813_662875_+" 1 -1 0 1 0
"scaffold_10_666587_666607_+" 0 0 0 0 0
"scaffold_10_670003_670103_+" 0 -1 0 0 0
"scaffold_10_673135_673260_+" 0 0 0 0 0
"scaffold_10_673431_673620_+" 0 0 0 0 0
"scaffold_10_674216_674432_+" 0 0 0 0 0
"scaffold_10_679434_679546_+" 1 -1 0 1 0
"scaffold_10_698597_698669_+" 0 0 0 0 0
"scaffold_10_722691_722857_+" 1 -1 1 1 1
"scaffold_10_793484_793554_+" 0 0 0 0 0
"scaffold_10_831400_831510_+" 0 0 0 0 0
"scaffold_10_856847_856911_+" 0 -1 0 1 0
"scaffold_10_878961_879012_+" 0 0 0 0 0
"scaffold_10_881529_881709_+" 0 1 0 -1 0
"scaffold_10_882411_882556_+" 0 0 0 0 0
"scaffold_10_882651_882798_+" 0 0 0 0 0
"scaffold_10_882882_882967_+" 0 0 0 0 0
"scaffold_10_883047_883139_+" 0 0 0 0 0
"scaffold_10_883419_883518_+" 0 0 0 0 0
