"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"scaffold_9_490006_490183_-" 2.90497379560157 2.50168578718642 12.1890503064424 3.09557984876396e-09 1.18000257370709e-08 11.3305098657398
"scaffold_3_2246087_2246450_-" 2.02503398347411 2.2470652314329 12.1887034843841 3.09679863361624e-09 1.18036331134035e-08 11.4192935831516
"scaffold_97_302930_303699_+" 2.04454805592379 2.31733365253446 12.1875241637472 3.10094674953277e-09 1.18184041933724e-08 11.4137139770004
"scaffold_131_98158_98391_+" 2.09660474569994 2.22876421881418 12.1867082868752 3.10381994217063e-09 1.18283140834273e-08 11.4072301264562
"scaffold_89_549241_549770_-" 2.26484025969095 1.69429503527172 12.1834569864031 3.11529777728965e-09 1.18710106859148e-08 11.3870012970858
"scaffold_17_613533_613596_-" 2.83558656065953 2.51033371669797 12.182748452878 3.11780502691881e-09 1.18795198835884e-08 11.3244108399877
"scaffold_1_1683975_1684877_+" 2.30345128861848 1.94434124017766 12.1790230616588 3.13102309639866e-09 1.19288345651221e-08 11.3781590072747
"scaffold_28_848963_849258_-" 2.3852316370677 2.3936165354846 12.1755660255415 3.14334214501058e-09 1.19747157104307e-08 11.3637700976319
"scaffold_75_497823_500183_-" 2.10333772589256 2.40411317894013 12.1734458269555 3.15092281401126e-09 1.20025392860781e-08 11.3929463475123
"scaffold_67_54751_54908_-" 3.71316242479654 3.67245945501666 12.1723787316737 3.15474548934901e-09 1.2016044226069e-08 11.2239570461897
"scaffold_14_1477177_1477357_+" 2.47647041708595 2.51622177009332 12.1715687588017 3.1576503511392e-09 1.20260512582153e-08 11.3496800036841
"scaffold_90_423246_423362_+" 2.30782837206673 2.05348016721867 12.1701962049545 3.16257930930522e-09 1.20437647143323e-08 11.3675831648829
"scaffold_23_297563_298031_+" 2.16402276819656 2.60911698217998 12.1605438002995 3.19747303408111e-09 1.21755771378624e-08 11.3694774133451
"scaffold_68_145198_145346_+" 2.52535881309881 2.92685848804439 12.1601494467558 3.19890727992976e-09 1.21799680824534e-08 11.3286811529757
"scaffold_1577_7656_7802_+" 4.3547254102258 4.38834935169337 12.1590612991694 3.20286836016899e-09 1.21939784334518e-08 11.1606410815197
"scaffold_163_226402_226757_+" 2.18797382823758 1.38676490593006 12.1571577187302 3.20981028808468e-09 1.22193340252664e-08 11.3622325953488
"scaffold_58_82222_83098_+" 2.16072087990411 1.52682494023555 12.154235823305 3.2204968180054e-09 1.22589391264191e-08 11.3631398852864
"scaffold_66_479446_479976_+" 2.15231979622926 1.54876031647571 12.1540526573119 3.22116798328656e-09 1.22604167656921e-08 11.3657835314686
"scaffold_59_357771_358130_-" 2.36989532564311 3.01683250302157 12.1527927873978 3.2257884747221e-09 1.22769247589432e-08 11.3410619482716
"scaffold_121_132758_133169_-" 2.88334006854652 3.72607032065052 12.1519511978281 3.2288788624784e-09 1.22876069912814e-08 11.2873529013439
"scaffold_14_595663_596245_+" 2.07342881236534 2.42795052183467 12.1514659542683 3.23066214354943e-09 1.22933135457072e-08 11.3694840073789
"scaffold_1_2873786_2874151_-" 2.38933256866656 2.80724607482316 12.1513433418374 3.23111291216944e-09 1.22939490675905e-08 11.3348442259935
"scaffold_1_1550482_1550955_+" 2.29295567298763 1.97156465579815 12.1508286410818 3.23300586965785e-09 1.2300071330242e-08 11.3409775186904
"scaffold_138_87874_88644_+" 2.65648296607735 2.70043861470702 12.1484203062357 3.24187882913571e-09 1.23327458206281e-08 11.3057880037139
