"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"scaffold_50_543666_543694_+" 2.46510113373449 2.17678977287851 12.2066458850591 3.03440856812731e-09 1.21191727159554e-08 11.4446249821276
"scaffold_11_1811759_1812259_+" 2.3551233119973 2.96325200103576 12.2061665614389 3.03605786099273e-09 1.21246421684368e-08 11.4572452015127
"scaffold_182_191523_191907_+" 2.18143208007186 1.78583493234027 12.2055054943748 3.03833406919488e-09 1.21326139983352e-08 11.4791200464627
"scaffold_5_1551110_1551957_+" 2.34239663340739 2.45499516422733 12.2051291552168 3.03963070053938e-09 1.21366730929471e-08 11.4612496872288
"scaffold_27_564671_565182_+" 2.15719255560432 2.20347408470408 12.2049027791219 3.04041093462055e-09 1.213866975243e-08 11.4805898763761
"scaffold_70_664113_664136_-" 2.36441402919681 0.14980356011272 12.2041164985489 3.04312260016468e-09 1.21483764650083e-08 11.4594587834331
"scaffold_17_84517_84636_+" 2.41681718149079 2.08851581987979 12.1996283245251 3.05865022711078e-09 1.22092389662615e-08 11.448145834661
"scaffold_15_853969_854851_+" 2.41314743995684 2.66483472697218 12.198023821896 3.06422164119419e-09 1.22303516191966e-08 11.4448914850619
"scaffold_3545_104_960_+" 2.63782389362904 2.49931260316595 12.197763008706 3.06512829474747e-09 1.22328434504632e-08 11.4139874448771
"scaffold_42_859070_859578_+" 2.32431132596625 2.46159204814091 12.1914901290668 3.08702029824397e-09 1.23190790680408e-08 11.4470826257103
"scaffold_70_263098_263374_+" 2.27431271995451 2.30059014001594 12.1861649357564 3.10573497285209e-09 1.23926205041251e-08 11.4442762952115
"scaffold_5_1655948_1656492_+" 2.48318417602297 2.03957558454269 12.1857671064083 3.10713790882152e-09 1.23970768061148e-08 11.4184958727809
"scaffold_2_476355_476604_-" 2.37201978876407 2.67603422248158 12.1826684667475 3.11808820385334e-09 1.24396215027762e-08 11.4292150695043
"scaffold_41_791113_791298_-" 2.44884251207629 2.34334894437227 12.1805326119754 3.12565991496794e-09 1.2468680736203e-08 11.4166559719302
"scaffold_9_1238714_1239926_-" 2.61091920639246 1.98134936337561 12.1777162703913 3.13567378400539e-09 1.25074758208265e-08 11.4009611152901
"scaffold_2_811357_811400_+" 2.48262116434119 2.50285909487369 12.1775728992538 3.13618446731369e-09 1.25083612474301e-08 11.4128108814107
"scaffold_83_313662_313832_+" 2.3517945981698 2.21676266616085 12.1754932528197 3.14360201985222e-09 1.25367913394806e-08 11.4289863970719
"scaffold_95_236593_236712_+" 2.35325758967656 2.55871971831671 12.1699987456265 3.16328907321255e-09 1.2614142879522e-08 11.4158952770563
"scaffold_13_1608063_1608446_+" 2.1264804099735 2.04204177336775 12.1621238684812 3.19173322970119e-09 1.27263973780631e-08 11.431910509894
